date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:47:41	66174/66174	---M--	200	added ('OK')	image/jpeg	etag:%2235a054b-1027e-6289c0f6a9379%22	https://mannatstudio.com/html/logzee/v3/assets/images/team/team-1.jpg	C:/My%20Web%20Sites/logzee/mannatstudio.com/html/logzee/v3/assets/images/team/team-1.jpg	(from https://mannatstudio.com/html/logzee/v3/index.html)
07:47:41	64635/64635	---M--	200	added ('OK')	image/jpeg	etag:%2235805dc-fc7b-6289c0a716164%22	https://mannatstudio.com/html/logzee/v3/assets/images/about_img_2.jpg	C:/My%20Web%20Sites/logzee/mannatstudio.com/html/logzee/v3/assets/images/about_img_2.jpg	(from https://mannatstudio.com/html/logzee/v3/index.html)
07:47:41	67730/67730	---M--	200	added ('OK')	image/png	etag:%2235805fc-10892-6289c0bad5e19%22	https://mannatstudio.com/html/logzee/v3/assets/images/courier-man.png	C:/My%20Web%20Sites/logzee/mannatstudio.com/html/logzee/v3/assets/images/courier-man.png	(from https://mannatstudio.com/html/logzee/v3/index.html)
07:47:41	130889/130889	---M--	200	added ('OK')	image/jpeg	etag:%2235a0577-1ff49-6289c116bae6c%22	https://mannatstudio.com/html/logzee/v3/assets/images/portfolio/fullwidth/img-1.jpg	C:/My%20Web%20Sites/logzee/mannatstudio.com/html/logzee/v3/assets/images/portfolio/fullwidth/img-1.jpg	(from https://mannatstudio.com/html/logzee/v3/index.html)
07:47:41	109111/109111	---M--	200	added ('OK')	image/jpeg	etag:%2235a057b-1aa37-6289c11a99e4c%22	https://mannatstudio.com/html/logzee/v3/assets/images/portfolio/fullwidth/img-2.jpg	C:/My%20Web%20Sites/logzee/mannatstudio.com/html/logzee/v3/assets/images/portfolio/fullwidth/img-2.jpg	(from https://mannatstudio.com/html/logzee/v3/index.html)
07:47:42	240758/240758	---M--	200	added ('OK')	image/jpeg	etag:%2235a057c-3ac76-6289c119e3459%22	https://mannatstudio.com/html/logzee/v3/assets/images/portfolio/fullwidth/img-3.jpg	C:/My%20Web%20Sites/logzee/mannatstudio.com/html/logzee/v3/assets/images/portfolio/fullwidth/img-3.jpg	(from https://mannatstudio.com/html/logzee/v3/index.html)
07:47:42	345863/345863	---M--	200	added ('OK')	image/jpeg	etag:%2235a057d-54707-6289c11b87efd%22	https://mannatstudio.com/html/logzee/v3/assets/images/portfolio/fullwidth/img-7.jpg	C:/My%20Web%20Sites/logzee/mannatstudio.com/html/logzee/v3/assets/images/portfolio/fullwidth/img-7.jpg	(from https://mannatstudio.com/html/logzee/v3/index.html)
07:47:42	98174/98174	---M--	200	added ('OK')	image/jpeg	etag:%2235a057e-17f7e-6289c11bd8046%22	https://mannatstudio.com/html/logzee/v3/assets/images/portfolio/fullwidth/img-8.jpg	C:/My%20Web%20Sites/logzee/mannatstudio.com/html/logzee/v3/assets/images/portfolio/fullwidth/img-8.jpg	(from https://mannatstudio.com/html/logzee/v3/index.html)
07:47:42	156797/156797	---M--	200	added ('OK')	image/jpeg	etag:%2235a057f-2647d-6289c11ce7822%22	https://mannatstudio.com/html/logzee/v3/assets/images/portfolio/fullwidth/img-9.jpg	C:/My%20Web%20Sites/logzee/mannatstudio.com/html/logzee/v3/assets/images/portfolio/fullwidth/img-9.jpg	(from https://mannatstudio.com/html/logzee/v3/index.html)
07:47:43	155555/155555	---M--	200	added ('OK')	image/jpeg	etag:%2235a0578-25fa3-6289c116efa31%22	https://mannatstudio.com/html/logzee/v3/assets/images/portfolio/fullwidth/img-10.jpg	C:/My%20Web%20Sites/logzee/mannatstudio.com/html/logzee/v3/assets/images/portfolio/fullwidth/img-10.jpg	(from https://mannatstudio.com/html/logzee/v3/index.html)
